name,description,deleted_at
"Web Development","Courses about building websites and web applications, including front-end and back-end technologies.",""
"Mobile Development","Courses focused on building mobile apps for Android, iOS, and cross-platform frameworks.",""
"Game Development","Courses on designing and programming games using engines and frameworks.",""
"Data Science","Courses covering data analysis, statistics, and data-driven decision making.",""
"Machine Learning","Courses about supervised, unsupervised, and reinforcement learning models and pipelines.",""
"Deep Learning","Courses focused on neural networks, computer vision, NLP, and advanced AI topics.",""
"Artificial Intelligence","Broader AI topics including search, planning, logic, and intelligent agents.",""
"Cloud Computing","Courses on cloud platforms, architecture, deployment, and cloud-native development.",""
"DevOps","Courses on CI/CD, automation, infrastructure as code, and deployment pipelines.",""
"Cybersecurity","Courses covering security fundamentals, ethical hacking, and secure development.",""
"Blockchain","Courses about blockchain fundamentals, smart contracts, and decentralized applications.",""
"Internet of Things","Courses on connected devices, sensors, and IoT platforms and protocols.",""
"Software Engineering","Courses on software architecture, design patterns, testing, and best practices.",""
"Programming Fundamentals","Introductory courses on basic programming concepts and problem solving.",""
"Algorithms and Data Structures","Courses on algorithm design, complexity, and efficient data structures.",""
"Operating Systems","Courses on OS concepts like processes, threads, memory, and file systems.",""
"Computer Networks","Courses on networking fundamentals, protocols, routing, and the internet stack.",""
"Databases","Courses on relational and NoSQL databases, SQL, and data modeling.",""
"Big Data","Courses on distributed data processing, streaming, and large-scale data systems.",""
"Information Theory","Courses on entropy, coding, mutual information, and communication limits.",""
"Discrete Mathematics","Courses on combinatorics, logic, graphs, and foundational math for CS.",""
"Linear Algebra","Courses on vectors, matrices, eigenvalues, and applications in ML and graphics.",""
"Calculus","Courses on limits, derivatives, integrals, and differential equations.",""
"Probability and Statistics","Courses on probability theory, random variables, and inferential statistics.",""
"Optimization","Courses on linear programming, convex optimization, and numerical methods.",""
"Numerical Methods","Courses on numerical solutions for equations, interpolation, and simulation.",""
"Physics","General and applied physics courses for engineering and science students.",""
"Chemistry","Courses on general, organic, and applied chemistry concepts.",""
"Biology","Courses on cell biology, genetics, and life sciences fundamentals.",""
"Electrical Engineering","Courses on circuits, signals, systems, and embedded hardware.",""
"Mechanical Engineering","Courses on mechanics, materials, thermodynamics, and design.",""
"Civil Engineering","Courses on structures, materials, and infrastructure engineering.",""
"Business and Management","Courses on business fundamentals, management, and organizational behavior.",""
"Entrepreneurship","Courses on startups, idea validation, product-market fit, and fundraising.",""
"Marketing","Courses on digital marketing, branding, and growth strategies.",""
"Finance and Accounting","Courses on financial literacy, corporate finance, and accounting basics.",""
"Project Management","Courses on planning, execution, agile, Scrum, and stakeholder management.",""
"Product Management","Courses on product discovery, roadmapping, and feature prioritization.",""
"UI Design","Courses on visual design, layout, color, and interface aesthetics.",""
"UX Design","Courses on user research, usability, and experience design principles.",""
"Graphic Design","Courses on design tools, typography, illustration, and composition.",""
"3D Modeling and Animation","Courses on 3D design, animation, and visual effects workflows.",""
"Video Production","Courses on shooting, editing, and producing professional video content.",""
"Photography","Courses on camera basics, composition, and photo editing.",""
"Music Production","Courses on audio recording, mixing, and digital music production.",""
"Language Learning","Courses for learning foreign languages and improving proficiency.",""
"English Language","Courses on grammar, vocabulary, writing, and spoken English.",""
"Test Preparation","Courses preparing learners for standardized exams and certifications.",""
"Personal Development","Courses on productivity, habits, and personal growth skills.",""
"Leadership and Management Skills","Courses on leadership, communication, and team management.",""
"Soft Skills","Courses on communication, negotiation, teamwork, and critical thinking.",""
"Career Development","Courses on CV building, interviews, and professional branding.",""
"Teaching and Instructional Design","Courses for educators on course design and pedagogy.",""
"Health and Wellness","Courses on mental health, fitness, and personal wellbeing.",""
"Lifestyle and Hobbies","Courses on cooking, travel, crafts, and other hobbies.",""
"Programming in Python","Courses specifically focused on Python programming skills.",""
"Programming in Java","Courses specifically focused on Java and its ecosystem.",""
"Programming in JavaScript","Courses on JavaScript for web and full-stack development.",""
"Mobile Development with Flutter","Courses on building cross-platform apps with Flutter and Dart.",""
"Backend Development","Courses on server-side development, APIs, and microservices.",""
"Frontend Development","Courses on HTML, CSS, JS, and modern frontend frameworks.",""
"Data Engineering","Courses on data pipelines, ETL, and data warehouses.",""
"Cloud Architecture","Courses on designing scalable and resilient cloud systems.",""
"Ethical Hacking","Courses on penetration testing, security tools, and defenses.",""
"UI/UX for Mobile Apps","Courses on designing usable and attractive mobile experiences.",""
"No-Code and Low-Code","Courses on building products without traditional coding.",""
"Office Productivity","Courses on spreadsheets, presentations, and office tools.",""
"Human Resources","Courses on recruiting, HR processes, and talent management.",""
"Legal and Compliance","Courses on legal basics, contracts, and regulatory compliance.",""
"Sales","Courses on sales techniques, funnels, and customer relationships.",""
"Customer Support","Courses on support workflows, communication, and service quality.",""
"Research Methods","Courses on academic research design, methods, and writing.",""
"Academic Skills","Courses on study techniques, note-taking, and exam strategies.",""
"Data Visualization","Courses on dashboards, charts, and storytelling with data.",""
"Cybersecurity for Developers","Secure coding and application security for engineers.",""
"Cloud DevOps","Courses combining cloud platforms with DevOps practices.",""
"AI in Business","Courses on applying AI to business processes and products.",""
"Prompt Engineering","Courses on designing prompts and workflows for AI systems.",""
"Ethics in Technology","Courses on ethical issues in AI, data, and software.",""
"Digital Transformation","Courses for organizations modernizing processes with tech.",""
"E-Learning Content Creation","Courses on designing and producing digital learning content.",""
"Language Teaching","Courses for language instructors on methods and tools.",""
"Mathematical Foundations for ML","Math-focused courses targeting ML applications.",""
"Competitive Programming","Courses on solving algorithmic problems under constraints.",""
"System Design","Courses on designing scalable, distributed systems and services.",""
"API Design","Courses on REST, GraphQL, and API lifecycle management.",""
"AR and VR Development","Courses on building augmented and virtual reality experiences.",""
"Robotics","Courses on building and programming robots and autonomous systems.",""
"Embedded Systems","Courses on microcontrollers, firmware, and low-level programming.",""
"Quantum Computing","Introductory courses on qubits, algorithms, and quantum theory.",""
"Human-Computer Interaction","Courses on interaction design and user-centered systems.",""
"Knowledge Management","Courses on capturing, organizing, and sharing knowledge.",""
"Digital Art","Courses on illustration, concept art, and digital painting.",""
"Copywriting","Courses on writing effective marketing and product copy.",""
"Content Creation","Courses on creating content for blogs, social media, and platforms.",""
"Social Media Marketing","Courses on growing and engaging audiences on social networks.",""
"SEO","Courses on search engine optimization strategies and techniques.",""
"Analytics and Measurement","Courses on tracking metrics and analyzing performance.",""
"Time Management","Courses on managing time, focus, and priorities.",""
"Mindfulness and Mental Health","Courses on mindfulness, stress reduction, and resilience.",""
